text_cluster_stopwords,audio_path,reference,prediction,sample_wer,sample_cer,duration_seconds,dominant_error
0,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26262000.mp3,elicopterul nu fusese anunțat,ericopterul nu puse să se anunță,1.25,0.27586206896551724,2.888,substitution
0,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26267329.mp3,căutăm noi actori pentru a extinde baza,cotăm un actor pentru o acestini de bază,1.0,0.3333333333333333,3.067,substitution
0,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21929987.mp3,aceste chestiuni țin de competența noastră,ar acestei chestiuni din lecompetența moastră,1.0,0.19047619047619047,3.222,substitution
0,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26267025.mp3,planeta ne transmite un semnal de alarmă,planeta a intratzmuit în semnul alarma,0.8571428571428571,0.35,3.463,substitution
0,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25887191.mp3,dubarbier cluj expediază primul șut pe poartă,dui barbieri cluji expediază primul șud pe poarta ea,0.8571428571428571,0.2,5.803,substitution
0,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_30685644.mp3,iti promit ca vei primi dreptate,eți promit că vă-i primit dreptată,0.8333333333333334,0.21875,3.896,substitution
0,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_31031741.mp3,iti poruncesc sa bei niste apa,iti porunce să bein niște apă,0.8333333333333334,0.2,3.535,substitution
0,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24091466.mp3,tricolorii vor întâlni sâmbătă reprezentativa ungariei,tricolorii volântâni să îmbătă reprezentativă a ungariei,0.8333333333333334,0.16666666666666666,5.228,substitution
0,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24091454.mp3,legislația actuală în vigoare permite derogări,regislația actuală învigua re permite de rogări,0.8333333333333334,0.10869565217391304,4.795,substitution
0,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26268525.mp3,nu așa îmi imaginez eu politica de azil,nașa mi-a mai jnezut o politica de azi,0.75,0.358974358974359,4.688,substitution
1,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21929986.mp3,această abordare este malițioasă și contraproductivă,această bordării este maritării să-și contraproducivă,0.6666666666666666,0.23076923076923078,4.422,substitution
1,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26285867.mp3,ei numesc această atitudine soft power,e numesc această astitută din soft power,0.5,0.15789473684210525,3.643,substitution
1,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_30399053.mp3,iti multumesc foarte mult,ți mulțumesc foarte mult,0.5,0.12,3.932,substitution
1,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_34056570.mp3,falsa modestie este un lucru mult mai nesuferit decât orice lăudăroșenie,falța modestii este un lucru mult mai nezferit decât orice lăudă roșenie,0.45454545454545453,0.06944444444444445,5.696,substitution
1,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_29341747.mp3,nu mai putem aștepta prea mult,nu mai putem așteptare mult,0.3333333333333333,0.1,4.436,substitution
1,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24534198.mp3,din această perspectivă am acceptat acest amendament,din această perspectivă am acceptat aceste amendamente,0.2857142857142857,0.038461538461538464,5.191,substitution
1,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21304458.mp3,nu există nicio alternativă la această cooperare,nu există nici o alternativă la această cooperare,0.2857142857142857,0.020833333333333332,4.854,substitution
1,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21823592.mp3,veți ridica această problemă la o dată ulterioară,veți ridică această problemă la o dată ulterioră,0.25,0.04081632653061224,5.742,substitution
1,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_34056307.mp3,niciun grup de oameni nu merită această soartă,nici un grup de oameni nu merită această soartă,0.25,0.021739130434782608,3.643,substitution
1,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26285743.mp3,am început să lucrez în această direcție,am început să dogrez în această direcție,0.14285714285714285,0.075,2.816,substitution
2,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_20349611.mp3,noi trebuie să luptăm pentru locuri fruntașe în clasament,noi trebuie să îl dăm pentru locul frântaștent clasament,0.5555555555555556,0.19298245614035087,3.87,substitution
2,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25257758.mp3,trebuie să reducem supracapacitatea anumitor flote,trebuie să reducem supracapacitatea a numităr flăte,0.5,0.06,4.904,substitution
2,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_22261164.mp3,trebuie să luptăm pentru această linie progresistă,trebuie să luptăm pentru această linii e progressistă,0.42857142857142855,0.06,4.302,substitution
2,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_36974682.mp3,aici principiul precauției trebuie să prevaleze,aici principil precauție trebuie să prevaleze,0.3333333333333333,0.0425531914893617,5.083,substitution
2,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24021381.mp3,această decizie trebuie luată la nivel politic,această decizie trebuie la tălul la nivel politic,0.2857142857142857,0.10869565217391304,5.335,substitution
2,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_24091457.mp3,trebuie să luăm în considerare acest lucru,trebuie să lăm o considerare acest lucru,0.2857142857142857,0.07142857142857142,4.255,substitution
2,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_25460522.mp3,coordonarea trebuie să existe la nivel internațional,cordonarea trebuie să există la nivel internațional,0.2857142857142857,0.038461538461538464,6.792,substitution
2,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_26266847.mp3,trebuie să spunem că țara dumneavoastră are probleme,trebuie să spunem că țara dvs a are probleme,0.25,0.19230769230769232,4.327,substitution
2,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_34056537.mp3,acum însă trebuie să îi și dăm curs,acum însă trebuie să iși dăm curs,0.25,0.05714285714285714,4.003,substitution
2,data/raw/common_voice/cv-corpus-25.0-2026-03-09/ro/clips/common_voice_ro_21929989.mp3,trebuie să ne amintim istoria noastră,trebuie să ne amintim de istoria noastră,0.16666666666666666,0.08108108108108109,3.462,insertion
